time,G(i),H_sun,T2m,WS10m,Int
20100101:0003,0.0,0.0,0.0,0.0,0.0
20100101:0103,0.0,0.0,0.0,0.0,0.0
20100101:0203,0.0,0.0,0.0,0.0,0.0
20100101:0303,0.0,0.0,0.0,0.0,0.0
20100101:0403,0.0,0.0,0.0,0.0,0.0
20100101:0503,0.0,0.0,0.0,0.0,0.0
20100101:0603,0.0,0.0,0.0,0.0,0.0
20100101:0703,0.0,0.0,0.0,0.0,0.0
20100101:0803,0.0,0.0,0.0,0.0,0.0
20100101:0903,95.24,11.4,0.0,0.0,0.0
20100101:1003,367.4,24.55,0.0,0.0,0.0
20100101:1103,522.72,37.97,0.0,0.0,0.0
20100101:1203,710.48,51.57,0.0,0.0,0.0
20100101:1303,953.33,65.29,0.0,0.0,0.0
20100101:1403,1060.07,79.08,0.0,0.0,0.0
20100101:1503,1063.0,87.09,0.0,0.0,0.0
20100101:1603,921.11,73.29,0.0,0.0,0.0
20100101:1703,870.44,59.53,0.0,0.0,0.0
20100101:1803,665.7,45.85,0.0,0.0,0.0
20100101:1903,404.6,32.32,0.0,0.0,0.0
20100101:2003,141.09,19.0,0.0,0.0,0.0
20100101:2103,6.0,6.0,0.0,0.0,0.0
20100101:2203,0.0,0.0,0.0,0.0,0.0
20100101:2303,0.0,0.0,0.0,0.0,0.0
20100102:0003,0.0,0.0,0.0,0.0,0.0
20100102:0103,0.0,0.0,0.0,0.0,0.0
20100102:0203,0.0,0.0,0.0,0.0,0.0
20100102:0303,0.0,0.0,0.0,0.0,0.0
20100102:0403,0.0,0.0,0.0,0.0,0.0
20100102:0503,0.0,0.0,0.0,0.0,0.0
20100102:0603,0.0,0.0,0.0,0.0,0.0
20100102:0703,0.0,0.0,0.0,0.0,0.0
20100102:0803,0.0,0.0,0.0,0.0,0.0
20100102:0903,153.6,11.28,0.0,0.0,0.0
20100102:1003,385.69,24.43,0.0,0.0,0.0
20100102:1103,617.3,37.85,0.0,0.0,0.0
20100102:1203,810.76,51.46,0.0,0.0,0.0
20100102:1303,968.34,65.18,0.0,0.0,0.0
20100102:1403,1054.06,78.97,0.0,0.0,0.0
20100102:1503,1079.99,87.2,0.0,0.0,0.0
20100102:1603,1018.14,73.39,0.0,0.0,0.0
20100102:1703,876.44,59.62,0.0,0.0,0.0
20100102:1803,670.7,45.94,0.0,0.0,0.0
20100102:1903,359.37,32.4,0.0,0.0,0.0
20100102:2003,127.05,19.07,0.0,0.0,0.0
20100102:2103,6.0,6.07,0.0,0.0,0.0
20100102:2203,0.0,0.0,0.0,0.0,0.0
20100102:2303,0.0,0.0,0.0,0.0,0.0
20100103:0003,0.0,0.0,0.0,0.0,0.0
20100103:0103,0.0,0.0,0.0,0.0,0.0
20100103:0203,0.0,0.0,0.0,0.0,0.0
20100103:0303,0.0,0.0,0.0,0.0,0.0
20100103:0403,0.0,0.0,0.0,0.0,0.0
20100103:0503,0.0,0.0,0.0,0.0,0.0
20100103:0603,0.0,0.0,0.0,0.0,0.0
20100103:0703,0.0,0.0,0.0,0.0,0.0
20100103:0803,0.0,0.0,0.0,0.0,0.0
20100103:0903,149.51,11.15,0.0,0.0,0.0
20100103:1003,383.68,24.3,0.0,0.0,0.0
20100103:1103,612.27,37.73,0.0,0.0,0.0
20100103:1203,809.75,51.34,0.0,0.0,0.0
20100103:1303,967.32,65.07,0.0,0.0,0.0
20100103:1403,1053.04,78.87,0.0,0.0,0.0
20100103:1503,1079.97,87.3,0.0,0.0,0.0
20100103:1603,1041.13,73.49,0.0,0.0,0.0
20100103:1703,922.5,59.71,0.0,0.0,0.0
20100103:1803,652.62,46.02,0.0,0.0,0.0
20100103:1903,273.1,32.48,0.0,0.0,0.0
20100103:2003,80.0,19.14,0.0,0.0,0.0
20100103:2103,10.0,6.12,0.0,0.0,0.0
20100103:2203,0.0,0.0,0.0,0.0,0.0
20100103:2303,0.0,0.0,0.0,0.0,0.0
20100104:0003,0.0,0.0,0.0,0.0,0.0
20100104:0103,0.0,0.0,0.0,0.0,0.0
20100104:0203,0.0,0.0,0.0,0.0,0.0
20100104:0303,0.0,0.0,0.0,0.0,0.0
20100104:0403,0.0,0.0,0.0,0.0,0.0
20100104:0503,0.0,0.0,0.0,0.0,0.0
20100104:0603,0.0,0.0,0.0,0.0,0.0
20100104:0703,0.0,0.0,0.0,0.0,0.0
20100104:0803,0.0,0.0,0.0,0.0,0.0
20100104:0903,77.1,11.02,0.0,0.0,0.0
20100104:1003,191.1,24.18,0.0,0.0,0.0
20100104:1103,365.17,37.61,0.0,0.0,0.0
20100104:1203,638.32,51.23,0.0,0.0,0.0
20100104:1303,950.29,64.96,0.0,0.0,0.0
20100104:1403,903.02,78.76,0.0,0.0,0.0
20100104:1503,1074.96,87.41,0.0,0.0,0.0
20100104:1603,1036.11,73.58,0.0,0.0,0.0
20100104:1703,946.52,59.8,0.0,0.0,0.0
20100104:1803,742.96,46.11,0.0,0.0,0.0
20100104:1903,279.11,32.55,0.0,0.0,0.0
20100104:2003,82.0,19.21,0.0,0.0,0.0
20100104:2103,59.72,6.18,0.0,0.0,0.0
20100104:2203,0.0,0.0,0.0,0.0,0.0
20100104:2303,0.0,0.0,0.0,0.0,0.0
20100105:0003,0.0,0.0,0.0,0.0,0.0
20100105:0103,0.0,0.0,0.0,0.0,0.0
20100105:0203,0.0,0.0,0.0,0.0,0.0
20100105:0303,0.0,0.0,0.0,0.0,0.0
20100105:0403,0.0,0.0,0.0,0.0,0.0
20100105:0503,0.0,0.0,0.0,0.0,0.0
20100105:0603,0.0,0.0,0.0,0.0,0.0
20100105:0703,0.0,0.0,0.0,0.0,0.0
20100105:0803,0.0,0.0,0.0,0.0,0.0
20100105:0903,87.2,10.89,0.0,0.0,0.0
20100105:1003,235.27,24.05,0.0,0.0,0.0
20100105:1103,446.4,37.49,0.0,0.0,0.0
20100105:1203,747.56,51.11,0.0,0.0,0.0
20100105:1303,949.28,64.85,0.0,0.0,0.0
20100105:1403,1052.01,78.66,0.0,0.0,0.0
20100105:1503,1074.94,87.5,0.0,0.0,0.0
20100105:1603,1031.09,73.67,0.0,0.0,0.0
20100105:1703,919.45,59.89,0.0,0.0,0.0
20100105:1803,673.67,46.19,0.0,0.0,0.0
20100105:1903,345.29,32.62,0.0,0.0,0.0
20100105:2003,160.16,19.27,0.0,0.0,0.0
20100105:2103,45.23,6.23,0.0,0.0,0.0
20100105:2203,0.0,0.0,0.0,0.0,0.0
20100105:2303,0.0,0.0,0.0,0.0,0.0
20100106:0003,0.0,0.0,0.0,0.0,0.0
20100106:0103,0.0,0.0,0.0,0.0,0.0
20100106:0203,0.0,0.0,0.0,0.0,0.0
20100106:0303,0.0,0.0,0.0,0.0,0.0
20100106:0403,0.0,0.0,0.0,0.0,0.0
20100106:0503,0.0,0.0,0.0,0.0,0.0
20100106:0603,0.0,0.0,0.0,0.0,0.0
20100106:0703,0.0,0.0,0.0,0.0,0.0
20100106:0803,0.0,0.0,0.0,0.0,0.0
20100106:0903,114.68,10.76,0.0,0.0,0.0
20100106:1003,185.09,23.93,0.0,0.0,0.0
20100106:1103,189.0,37.37,0.0,0.0,0.0
20100106:1203,131.0,51.0,0.0,0.0,0.0
20100106:1303,141.0,64.74,0.0,0.0,0.0
20100106:1403,152.0,78.55,0.0,0.0,0.0
20100106:1503,223.0,87.59,0.0,0.0,0.0
20100106:1603,434.0,73.76,0.0,0.0,0.0
20100106:1703,499.04,59.97,0.0,0.0,0.0
20100106:1803,423.1,46.26,0.0,0.0,0.0
20100106:1903,303.16,32.69,0.0,0.0,0.0
20100106:2003,26.0,19.33,0.0,0.0,0.0
20100106:2103,6.0,6.28,0.0,0.0,0.0
20100106:2203,0.0,0.0,0.0,0.0,0.0
20100106:2303,0.0,0.0,0.0,0.0,0.0
20100107:0003,0.0,0.0,0.0,0.0,0.0
20100107:0103,0.0,0.0,0.0,0.0,0.0
20100107:0203,0.0,0.0,0.0,0.0,0.0
20100107:0303,0.0,0.0,0.0,0.0,0.0
20100107:0403,0.0,0.0,0.0,0.0,0.0
20100107:0503,0.0,0.0,0.0,0.0,0.0
20100107:0603,0.0,0.0,0.0,0.0,0.0
20100107:0703,0.0,0.0,0.0,0.0,0.0
20100107:0803,0.0,0.0,0.0,0.0,0.0
20100107:0903,43.0,10.62,0.0,0.0,0.0
20100107:1003,120.0,23.8,0.0,0.0,0.0
20100107:1103,134.0,37.25,0.0,0.0,0.0
20100107:1203,386.03,50.89,0.0,0.0,0.0
20100107:1303,365.0,64.63,0.0,0.0,0.0
20100107:1403,511.0,78.45,0.0,0.0,0.0
20100107:1503,730.98,87.67,0.0,0.0,0.0
20100107:1603,993.04,73.85,0.0,0.0,0.0
20100107:1703,920.41,60.05,0.0,0.0,0.0
20100107:1803,694.7,46.34,0.0,0.0,0.0
20100107:1903,336.25,32.76,0.0,0.0,0.0
20100107:2003,299.82,19.38,0.0,0.0,0.0
20100107:2103,46.25,6.32,0.0,0.0,0.0
20100107:2203,0.0,0.0,0.0,0.0,0.0
20100107:2303,0.0,0.0,0.0,0.0,0.0
20100108:0003,0.0,0.0,0.0,0.0,0.0
20100108:0103,0.0,0.0,0.0,0.0,0.0
20100108:0203,0.0,0.0,0.0,0.0,0.0
20100108:0303,0.0,0.0,0.0,0.0,0.0
20100108:0403,0.0,0.0,0.0,0.0,0.0
20100108:0503,0.0,0.0,0.0,0.0,0.0
20100108:0603,0.0,0.0,0.0,0.0,0.0
20100108:0703,0.0,0.0,0.0,0.0,0.0
20100108:0803,0.0,0.0,0.0,0.0,0.0
20100108:0903,134.3,10.49,0.0,0.0,0.0
20100108:1003,366.54,23.67,0.0,0.0,0.0
20100108:1103,592.14,37.13,0.0,0.0,0.0
20100108:1203,797.68,50.77,0.0,0.0,0.0
20100108:1303,957.24,64.52,0.0,0.0,0.0
20100108:1403,1050.96,78.34,0.0,0.0,0.0
20100108:1503,1080.88,87.74,0.0,0.0,0.0
20100108:1603,1033.03,73.93,0.0,0.0,0.0
20100108:1703,896.35,60.13,0.0,0.0,0.0
20100108:1803,688.66,46.41,0.0,0.0,0.0
20100108:1903,375.39,32.82,0.0,0.0,0.0
20100108:2003,159.14,19.44,0.0,0.0,0.0
20100108:2103,7.0,6.36,0.0,0.0,0.0
20100108:2203,0.0,0.0,0.0,0.0,0.0
20100108:2303,0.0,0.0,0.0,0.0,0.0
20100109:0003,0.0,0.0,0.0,0.0,0.0
20100109:0103,0.0,0.0,0.0,0.0,0.0
20100109:0203,0.0,0.0,0.0,0.0,0.0
20100109:0303,0.0,0.0,0.0,0.0,0.0
20100109:0403,0.0,0.0,0.0,0.0,0.0
20100109:0503,0.0,0.0,0.0,0.0,0.0
20100109:0603,0.0,0.0,0.0,0.0,0.0
20100109:0703,0.0,0.0,0.0,0.0,0.0
20100109:0803,0.0,0.0,0.0,0.0,0.0
20100109:0903,135.4,10.35,0.0,0.0,0.0
20100109:1003,370.61,23.55,0.0,0.0,0.0
20100109:1103,597.17,37.01,0.0,0.0,0.0
20100109:1203,800.67,50.66,0.0,0.0,0.0
20100109:1303,961.23,64.42,0.0,0.0,0.0
20100109:1403,1049.94,78.24,0.0,0.0,0.0
20100109:1503,1080.86,87.79,0.0,0.0,0.0
20100109:1603,1022.0,74.01,0.0,0.0,0.0
20100109:1703,897.33,60.21,0.0,0.0,0.0
20100109:1803,696.67,46.48,0.0,0.0,0.0
20100109:1903,392.45,32.88,0.0,0.0,0.0
20100109:2003,164.16,19.48,0.0,0.0,0.0
20100109:2103,7.0,6.4,0.0,0.0,0.0
20100109:2203,0.0,0.0,0.0,0.0,0.0
20100109:2303,0.0,0.0,0.0,0.0,0.0
20100110:0003,0.0,0.0,0.0,0.0,0.0
20100110:0103,0.0,0.0,0.0,0.0,0.0
20100110:0203,0.0,0.0,0.0,0.0,0.0
20100110:0303,0.0,0.0,0.0,0.0,0.0
20100110:0403,0.0,0.0,0.0,0.0,0.0
20100110:0503,0.0,0.0,0.0,0.0,0.0
20100110:0603,0.0,0.0,0.0,0.0,0.0
20100110:0703,0.0,0.0,0.0,0.0,0.0
20100110:0803,0.0,0.0,0.0,0.0,0.0
20100110:0903,134.43,10.21,0.0,0.0,0.0
20100110:1003,369.63,23.42,0.0,0.0,0.0
20100110:1103,598.18,36.89,0.0,0.0,0.0
20100110:1203,802.67,50.54,0.0,0.0,0.0
20100110:1303,965.21,64.31,0.0,0.0,0.0
20100110:1403,1054.91,78.13,0.0,0.0,0.0
20100110:1503,1080.83,87.83,0.0,0.0,0.0
20100110:1603,1027.98,74.09,0.0,0.0,0.0
20100110:1703,898.31,60.28,0.0,0.0,0.0
20100110:1803,693.64,46.54,0.0,0.0,0.0
20100110:1903,382.4,32.93,0.0,0.0,0.0
20100110:2003,155.12,19.53,0.0,0.0,0.0
20100110:2103,38.09,6.43,0.0,0.0,0.0
20100110:2203,0.0,0.0,0.0,0.0,0.0
20100110:2303,0.0,0.0,0.0,0.0,0.0
20100111:0003,0.0,0.0,0.0,0.0,0.0
20100111:0103,0.0,0.0,0.0,0.0,0.0
20100111:0203,0.0,0.0,0.0,0.0,0.0
20100111:0303,0.0,0.0,0.0,0.0,0.0
20100111:0403,0.0,0.0,0.0,0.0,0.0
20100111:0503,0.0,0.0,0.0,0.0,0.0
20100111:0603,0.0,0.0,0.0,0.0,0.0
20100111:0703,0.0,0.0,0.0,0.0,0.0
20100111:0803,0.0,0.0,0.0,0.0,0.0
20100111:0903,131.39,10.08,0.0,0.0,0.0
20100111:1003,365.58,23.29,0.0,0.0,0.0
20100111:1103,596.16,36.77,0.0,0.0,0.0
20100111:1203,801.65,50.43,0.0,0.0,0.0
20100111:1303,959.19,64.2,0.0,0.0,0.0
20100111:1403,1054.89,78.02,0.0,0.0,0.0
20100111:1503,1086.81,87.85,0.0,0.0,0.0
20100111:1603,1038.95,74.16,0.0,0.0,0.0
20100111:1703,909.29,60.35,0.0,0.0,0.0
20100111:1803,690.6,46.6,0.0,0.0,0.0
20100111:1903,363.31,32.98,0.0,0.0,0.0
20100111:2003,145.08,19.57,0.0,0.0,0.0
20100111:2103,7.0,6.45,0.0,0.0,0.0
20100111:2203,0.0,0.0,0.0,0.0,0.0
20100111:2303,0.0,0.0,0.0,0.0,0.0
20100112:0003,0.0,0.0,0.0,0.0,0.0
20100112:0103,0.0,0.0,0.0,0.0,0.0
20100112:0203,0.0,0.0,0.0,0.0,0.0
20100112:0303,0.0,0.0,0.0,0.0,0.0
20100112:0403,0.0,0.0,0.0,0.0,0.0
20100112:0503,0.0,0.0,0.0,0.0,0.0
20100112:0603,0.0,0.0,0.0,0.0,0.0
20100112:0703,0.0,0.0,0.0,0.0,0.0
20100112:0803,0.0,0.0,0.0,0.0,0.0
20100112:0903,113.86,9.94,0.0,0.0,0.0
20100112:1003,317.98,23.16,0.0,0.0,0.0
20100112:1103,537.81,36.65,0.0,0.0,0.0
